"기준일ID","시군구코드","시군구명","총생활인구수","내국인생활인구수","장기체류외국인인구수","단기체류외국인인구수","일최대인구수","일최소인구수","주간인구수(09~18)","야간인구수(19~08)","일최대이동인구수","서울외유입인구수","동일자치구행정동간이동인구수","자치구간이동인구수"
"20190207","11110","종로구","327653.04060","298806.36120","15614.71960","13231.95980","461286.81090","224456.25500","422496.81490","259907.48760","313704.42160","80864.21460","38797.63680","194042.57020"
"20190207","11140","중구","354326.23070","287050.77860","21358.31110","45917.14100","515128.67960","208578.09940","480895.41530","263919.67020","365270.25310","94183.75330","34975.45370","236111.04610"
"20190207","11170","용산구","324375.75960","292758.46750","23198.63570","8418.65640","359635.00970","286242.99770","352972.73120","303949.35120","210040.02120","55393.66280","49903.92200","104742.43640"
"20190207","11200","성동구","365326.08970","346887.09840","16400.95070","2038.04070","384065.51930","346045.99450","375691.39880","357922.29750","220931.37320","39827.92040","76422.33780","104681.11500"
"20190207","11215","광진구","404640.61940","380615.48360","20715.22200","3309.91380","432849.47320","376716.86400","385452.76600","418346.22910","200261.77540","37146.60130","90189.87290","72925.30120"
"20190207","11230","동대문구","382854.64190","360817.01690","18292.22280","3745.40210","388100.30600","378241.26020","382999.72460","382751.01140","212958.53820","36400.49190","83937.24280","92620.80350"
"20190207","11260","중랑구","376963.37450","369473.49440","6659.09430","830.78590","414964.59030","336504.87300","344518.24290","400138.46860","175726.21980","27332.20700","106773.56350","41620.44930"
"20190207","11290","성북구","440214.47990","427035.02040","10967.61150","2211.84800","470944.18750","405261.49010","413174.79260","459528.54230","199205.33670","23104.26570","97210.15720","78890.91380"
"20190207","11305","강북구","311035.32110","304451.97920","5340.00690","1243.33500","342077.22160","278168.74590","285020.61810","329617.25190","140657.33340","13318.07630","79692.62230","47646.63480"
"20190207","11320","도봉구","300992.58530","297350.09430","2992.13510","650.35590","330551.97780","267474.63770","275847.51120","318953.35250","153979.83400","20745.45140","91220.27930","42014.10330"
"20190207","11350","노원구","532418.05760","526070.50510","5026.91030","1320.64230","570801.54360","486848.53590","496462.62230","558100.51140","236962.57520","37611.77470","137386.00400","61964.79650"
"20190207","11380","은평구","457528.25660","448694.66750","7283.14460","1550.44450","507545.63230","400703.61900","412104.30780","489973.93440","191319.69900","31262.88970","123116.58350","36940.22580"
"20190207","11410","서대문구","409821.79630","375704.70720","22188.50120","11928.58790","427336.23440","388686.54560","422638.75850","400666.82340","242561.24050","48868.58490","78235.17820","115457.47740"
"20190207","11440","마포구","503101.08690","466463.65600","20150.74710","16486.68380","550193.26440","455669.21920","533828.42160","481152.99070","317802.57520","78166.22220","91905.84820","147730.50480"
"20190207","11470","양천구","413275.20510","405238.67380","6313.36410","1723.16720","442299.75300","378669.53590","386516.26720","432388.73210","207317.93210","32483.95630","106648.84870","68185.12710"
"20190207","11500","강서구","576231.66730","556412.01210","11080.94280","8738.71240","605563.40870","545827.54910","550508.37130","594605.45020","278172.69270","67920.24480","139824.25180","70428.19610"
"20190207","11530","구로구","445579.36130","407136.97620","32506.99470","5935.39040","455189.85350","439332.97570","444747.07470","446173.85170","239452.10320","75805.74080","82054.16260","81592.19980"
"20190207","11545","금천구","257178.06670","234611.59590","19506.39000","3060.08090","284349.46750","233071.10770","281268.49290","239970.61950","176444.11680","63900.25430","52673.48540","59870.37710"
"20190207","11560","영등포구","536591.10830","482328.43620","45469.91240","8792.75980","612054.36290","457664.36200","600545.59810","490909.32990","391390.80150","102756.19930","101151.94930","187482.65290"
"20190207","11590","동작구","415909.95810","399386.43730","13961.87850","2561.64230","447521.31160","380617.51640","387613.34830","436121.82230","189160.43650","34415.77360","79189.66730","75554.99560"
"20190207","11620","관악구","515268.11670","487612.45250","24045.29480","3610.36940","576831.48980","451043.68090","463030.37410","552580.78990","234465.75380","36578.66700","131232.67580","66654.41100"
"20190207","11650","서초구","625768.97750","603810.21920","16597.26560","5361.49270","760350.82650","494739.85090","732333.71340","549651.30900","479560.57170","153468.30510","92612.17860","233480.08800"
"20190207","11680","강남구","866148.64180","829145.64080","23612.08460","13390.91640","1107859.57160","638892.19380","1062503.53980","725895.14310","711481.32350","218233.48290","134358.30130","358889.53930"
"20190207","11710","송파구","791789.56520","767231.50140","17446.79710","7111.26670","819137.76400","766028.73530","806372.15230","781373.43160","442302.78890","121459.36190","187428.79170","133414.63530"
"20190207","11740","강동구","501815.85740","489470.94930","10952.44070","1392.46750","533508.67440","465223.76150","472620.20320","522669.89610","246097.64790","49511.02630","147434.95950","49151.66210"
"20190206","11000","서울시","10569046.63880","9973861.35310","421949.57740","173235.70820","10980784.10480","10179814.69800","10641099.21400","10517580.51370","4947520.47010","1083477.03690","2245949.21280","1618094.22040"
"20190206","11110","종로구","255999.70770","227491.94290","14604.80590","13902.95890","346245.95440","210431.05190","299415.74790","224988.25040","202916.88110","56268.73940","35631.58990","111016.55180"
"20190206","11140","중구","242132.79480","177223.04180","18865.15970","46044.59330","309561.90310","199682.17100","276898.10430","217300.43080","168975.06840","43138.49150","30917.27610","94919.30080"
"20190206","11170","용산구","298282.40550","264602.87420","25208.34300","8471.18830","328282.36200","272928.34280","315108.41930","286263.82420","159497.89210","41426.17080","48842.37010","69229.35120"
"20190206","11200","성동구","330680.11100","313715.73730","14864.17030","2100.20340","351935.19120","317127.11400","329372.35220","331614.22430","155477.73660","26272.28430","71192.16380","58013.28850"
"20190206","11215","광진구","397516.06170","371673.08680","22755.44010","3087.53470","425978.20090","380457.51000","399140.88350","396355.47460","181741.73920","37942.70020","83604.86470","60194.17430"
"20190206","11230","동대문구","365449.69160","343177.27020","18666.40450","3606.01690","379503.34560","358027.67160","363592.64450","366776.15390","168413.30770","30576.89370","77563.58760","60272.82640"
"20190206","11260","중랑구","394844.25460","386812.93780","7143.68210","887.63470","411813.45560","377506.69770","385331.09570","401639.36800","169574.07290","32597.21980","99525.10220","37451.75090"
"20190206","11290","성북구","435927.74220","422843.88930","10844.50390","2239.34890","465689.67900","413484.91820","423276.26310","444964.51290","176798.79330","28468.85900","91443.04070","56886.89360"
"20190206","11305","강북구","327832.30370","320636.51150","5721.47770","1474.31450","341128.18660","312675.92380","318111.44010","334775.77770","139702.24970","22714.76110","74412.29290","42575.19570"
"20190206","11320","도봉구","318020.51980","313937.89850","3295.97270","786.64860","325704.04820","306220.75380","312285.04060","322117.29070","154770.03930","27831.06370","85634.76840","41304.20720"
"20190206","11350","노원구","538268.75910","531778.94020","4880.52760","1609.29130","568201.15320","523506.91370","530220.69850","544017.37380","227369.53940","42059.77760","129532.48640","55777.27540"
"20190206","11380","은평구","475844.86970","466958.27460","7229.87650","1656.71870","505296.67040","450924.70890","461852.44640","485839.45770","191265.58000","36537.85140","118166.83720","36560.89140"
"20190206","11410","서대문구","373171.73210","340495.48090","20754.55060","11921.70060","389850.37570","358565.10200","371204.57240","374576.84630","171063.60000","30583.72040","72644.92150","67834.95810"
"20190206","11440","마포구","448063.01330","410861.06190","20321.63570","16880.31570","494121.96090","417777.68270","456395.82300","442111.00630","225056.22830","51470.86050","83587.03220","89998.33560"
"20190206","11470","양천구","408862.44970","400890.33470","6079.54830","1892.56670","438961.92500","390728.90610","398812.27710","416041.14450","189239.34540","32994.13810","102860.83300","53384.37430"
"20190206","11500","강서구","567393.66620","548730.56520","10827.88920","7835.21180","599334.78580","552487.03660","562509.18470","570882.58160","246358.55570","61508.98690","131699.79860","53149.77020"
"20190206","11530","구로구","435432.05010","390996.78150","38232.86580","6202.40280","449261.45530","426695.86320","431870.52140","437975.99920","189662.68630","59581.74160","77842.02180","52238.92290"
"20190206","11545","금천구","234802.07800","209186.17650","22219.04940","3396.85210","240849.57950","228599.05700","237941.84800","232559.38520","118911.17420","38085.35260","49569.30960","31256.51200"
"20190206","11560","영등포구","466409.69930","405617.83110","51337.99490","9453.87320","506949.56880","432548.01720","486311.67600","452194.00160","255992.49590","63097.69330","93323.71500","99571.08760"
"20190206","11590","동작구","406361.02490","389189.27650","14564.52260","2607.22580","440238.03620","388405.71290","395893.07570","413838.13140","163577.93380","32527.77640","74387.70320","56662.45420"
"20190206","11620","관악구","512297.57460","482216.43310","26352.68140","3728.46010","563345.16370","487909.94510","497178.52390","523096.89650","213436.01440","39627.51500","119329.73320","54478.76620"
"20190206","11650","서초구","498691.62990","481283.47930","13068.49080","4339.65980","548977.30750","447223.97890","524769.18410","480064.80540","262391.23100","70212.40150","84153.55040","108025.27910"
"20190206","11680","강남구","614512.71600","587042.27020","16811.50360","10658.94220","668276.88110","558629.08580","638153.98130","597626.09800","289782.20290","68431.65250","109254.62730","112095.92310"
"20190206","11710","송파구","733871.22640","709646.98880","16938.74630","7285.49130","781142.60850","687234.57860","750449.85770","722029.34690","348862.10730","87785.28920","173365.50800","87711.31010"
"20190206","11740","강동구","488378.55700","476852.26830","10359.73490","1166.55370","530775.59280","464311.57290","475003.55240","497932.13160","210448.27020","40326.00110","137556.72890","32565.54020"
"20190205","11000","서울시","9844698.69450","9249529.04670","423093.80680","172075.84110","10135501.74200","9698307.48270","9792085.04540","9882279.87250","4925893.18520","1466151.63160","1931315.01080","1528426.54280"
"20190205","11110","종로구","229840.42450","200956.69270","16152.68230","12731.04950","288928.18810","205725.89170","254097.56080","212513.89850","166869.53130","55782.25930","30056.48290","81030.78910"
"20190205","11140","중구","218054.98140","155671.90650","19095.14210","43287.93280","256418.91610","193798.45260","234263.65100","206477.36030","130382.21000","39487.53520","25804.22560","65090.44920"
"20190205","11170","용산구","278383.49750","245516.57030","24160.02030","8706.90690","298255.75150","256609.80080","289234.80910","270632.56070","152673.11220","49511.54190","42037.33910","61124.23120"
"20190205","11200","성동구","312154.38750","296039.69710","14009.31930","2105.37100","322451.80030","303666.26500","312771.19780","311713.80870","162457.18020","44191.14630","58914.03920","59351.99470"
"20190205","11215","광진구","364534.81580","338728.70520","22774.63540","3031.47520","389509.88670","352390.04730","360842.47630","367172.20110","179068.23620","51661.62790","69726.88080","57679.72750"
"20190205","11230","동대문구","351736.91760","330294.66010","17455.73990","3986.51770","356676.58980","343228.98620","347962.37550","354433.01910","174383.21580","47770.06820","66915.72880","59697.41880"
"20190205","11260","중랑구","387868.53530","379338.95860","7312.25160","1217.32510","396084.97800","379290.14950","383071.04920","391295.31110","193275.29040","56506.51510","88143.16280","48625.61250"
"20190205","11290","성북구","424094.29210","409198.68290","12845.67430","2049.93490","432926.24010","408679.25260","417485.15500","428815.10440","205110.72700","55409.11400","79932.43230","69769.18070"
"20190205","11305","강북구","327463.37610","320138.75090","5856.08390","1468.54130","338095.56210","314001.96930","320027.31670","332774.84710","156913.19650","41399.25530","66836.76810","48677.17310"
"20190205","11320","도봉구","319838.18200","315615.85520","3430.97880","791.34800","323225.40860","314535.84050","318268.27800","320959.54190","173765.71110","48080.91030","75607.90020","50076.90060"
