상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,상호명_소문자,브랜드명
20586146,스타벅스외대점,외대점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11230,동대문구,1123074000,이문1동,1123011000,이문동,1123011000203050060,1,대지,305,60.0,서울특별시 동대문구 이문동 305-60,112303105021,서울특별시 동대문구 휘경로,12,1.0,1123011000103050060003582,,서울특별시 동대문구 휘경로 12-1,130080,2441.0,,1,,127.061378960488,37.5957258221365,스타벅스외대점,스타벅스
23305132,스타벅스,여의도일신점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11560,영등포구,1156054000,여의동,1156011000,여의도동,1156011000200150015,1,대지,15,15.0,서울특별시 영등포구 여의도동 15-15,115603118025,서울특별시 영등포구 은행로,11,,1156011000100150015031131,일신빌딩,서울특별시 영등포구 은행로 11,150872,7237.0,,1,,126.92021918816499,37.527905068142,스타벅스,스타벅스
20035319,스타벅스,보라매타운점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11590,동작구,1159068000,신대방2동,1159010900,신대방동,1159010900203950066,1,대지,395,66.0,서울특별시 동작구 신대방동 395-66,115904160385,서울특별시 동작구 보라매로5길,43,,1159010900103950066001707,보라매삼성쉐르빌,서울특별시 동작구 보라매로5길 43,156728,7071.0,,1,,126.92335679189101,37.491423339167795,스타벅스,스타벅스
20009393,스타벅스,몬테소리점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11650,서초구,1165053100,서초4동,1165010800,서초동,1165010800213180008,1,대지,1318,8.0,서울특별시 서초구 서초동 1318-8,116502102001,서울특별시 서초구 강남대로,399,,1165010800113180008019994,몬테소리,서울특별시 서초구 강남대로 399,137070,6615.0,,1,,127.02682889654498,37.4982589797032,스타벅스,스타벅스
23271125,스타벅스,한티역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168060000,대치1동,1168010600,대치동,1168010600210240000,1,대지,1024,,서울특별시 강남구 대치동 1024,116803122012,서울특별시 강남구 도곡로,408,,1168010600110240000014252,디마크빌딩,서울특별시 강남구 도곡로 408,135280,6278.0,,,101,127.055213389641,37.496615204091,스타벅스,스타벅스
20706065,스타벅스,월곡역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11290,성북구,1129072500,월곡2동,1129013600,하월곡동,1129013600200460073,1,대지,46,73.0,서울특별시 성북구 하월곡동 46-73,112903005046,서울특별시 성북구 화랑로,76,,1129013600100460073000001,코업스타클래스,서울특별시 성북구 화랑로 76,136743,2799.0,101,,1,127.040441763055,37.6018196933437,스타벅스,스타벅스
23593154,스타벅스명지대점,명지대점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11410,서대문구,1141070000,남가좌2동,1141012000,남가좌동,1141012000203440001,1,대지,344,1.0,서울특별시 서대문구 남가좌동 344-1,114103112003,서울특별시 서대문구 거북골로,53,,1141012000103440001005100,,서울특별시 서대문구 거북골로 53,120120,3665.0,,1,,126.92232239793002,37.578283364060795,스타벅스명지대점,스타벅스
20003237,스타벅스석촌역,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11710,송파구,1171060000,석촌동,1171010500,석촌동,1171010500202860009,1,대지,286,9.0,서울특별시 송파구 석촌동 286-9,117103123006,서울특별시 송파구 백제고분로,358,,1171010500102860009009809,,서울특별시 송파구 백제고분로 358,138847,5685.0,,1,,127.10601340660801,37.5042460725183,스타벅스석촌역,스타벅스
19972222,스타벅스,신촌대로점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11410,서대문구,1141058500,신촌동,1141011600,창천동,1141011600200200041,1,대지,20,41.0,서울특별시 서대문구 창천동 20-41,114103005057,서울특별시 서대문구 신촌로,121,,1141011600100200041030808,아남오피스텔,서울특별시 서대문구 신촌로 121,120833,3780.0,,1,,126.93927795426599,37.5561993158556,스타벅스,스타벅스
20404868,스타벅스,순화동에이스점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11140,중구,1114052000,소공동,1114016800,순화동,1114016800200010170,1,대지,1,170.0,서울특별시 중구 순화동 1-170,111403000008,서울특별시 중구 통일로,92,,1114016800100010170022326,에이스타워,서울특별시 중구 통일로 92,100712,4517.0,,1,,126.969202890528,37.5635826036441,스타벅스,스타벅스
