"교유번호","명칭","파일경로","위도","경도"
"313","서빙고역 반포대교 인근","용산한강길.kmz","37.5171536","126.9912444"
"314","한남역 인근","용산한강길.kmz","37.5279046","127.0063116"
"315","선유도","영등포동작구한강길.kmz","37.5433805","126.9002894"
"316","마포대교 원효대교 인근","용산한강길.kmz","37.5323744","126.9489673"
"317","한남역 지하철 중안선","용산한강길.kmz","37.5294619","127.0092671"
"318","용산가족공원","용산한강길.kmz","37.5207654","126.9827072"
"319","서래섬","용산한강길.kmz","37.5077125","126.9895793"
"320","세빛둥둥섬","용산한강길.kmz","37.5119234","126.995509"
"321","노들섬","용산한강길.kmz","37.5177847","126.9581764"
"322","롯데캐슬루나아파트 인근","우이천 길.kmz","37.6260055","127.0485851"
"323","번2동주민센터 인근","우이천 길.kmz","37.6326319","127.0391954"
"324","우이제3교인근","우이천 길.kmz","37.6367779","127.0363398"
"325","창동태영데시앙아파트 인근","우이천 길.kmz","37.6419316","127.0322156"
"326","우암빌라 인근","우이천 길.kmz","37.6592347","127.0147589"
"327","석계역 지하철 1 6호선","우이천 길.kmz","37.6147193","127.0658036"
"328","월계역 지하철 1호선","우이천 길.kmz","37.6314702","127.0586486"
"329","수유역 지하철 4호선","우이천 길.kmz","37.6382251","127.0260567"
"330","옹기민속박물관","우이천 길.kmz","37.6555683","127.0145259"
"331","서울영어마을 수유캠프","우이천 길.kmz","37.6399759","127.0082636"
"332","솔밭근린공원","우이천 길.kmz","37.6526609","127.0112361"
"333","제기동역 지하철 1호선","정릉천 길.kmz/임시 장소","37.5781265","127.0348788"
"334","쌍문역 지하철 4호선","우이천 길.kmz","37.6486806","127.034612"
"336","코업스타클래스 인근","정릉천 길.kmz/임시 장소","37.6013361","127.0398227"
"337","서울약령시장","정릉천 길.kmz/임시 장소","37.579155","127.0373053"
"338","선농단","정릉천 길.kmz/임시 장소","37.581013","127.0320238"
"339","응봉역 지하철 중앙선","중랑천 길.kmz/임시 장소","37.5496846","127.0344931"
"340","성동세무서 인근","중랑천 길.kmz/임시 장소","37.5494541","127.0624131"
"341","응봉역 인근","중랑천 길.kmz/임시 장소","37.5502744","127.0354484"
"335","제기로9길 인근","정릉천 길.kmz/임시 장소","37.5871763","127.0368661"
"342","아차산성","중랑천 길.kmz/임시 장소","37.5548877","127.1052243"
"343","영휘원","중랑천 길.kmz/임시 장소","37.5900605","127.0439296"
"344","용마폭포공원축구장","중랑천 길.kmz/임시 장소","37.5745157","127.0900528"
"345","수락산역 지하철 7호선","중랑천 길.kmz","37.6785119","127.0548785"
"346","도봉주공1단지 인근","중랑천 길.kmz","37.682742","127.0521401"
"347","방학동삼성래미안아파트 인근","중랑천 길.kmz","37.6671973","127.0500747"
"348","창동주공19단지아파트 인근","중랑천 길.kmz","37.6492397","127.0551336"
"349","초안산근린공원 인근","중랑천 길.kmz","37.6400617","127.0563638"
"350","월계삼호4차아파트 인근","중랑천 길.kmz","37.6269653","127.0674489"
"351","석계역 지하철 1 6호선","중랑천 길.kmz","37.6148909","127.0659765"
"352","태릉선수촌","중랑천 길.kmz","37.6346883","127.103073"
"353","육군사관학교","중랑천 길.kmz","37.6239866","127.0994206"
"354","북서울의꿈","중랑천 길.kmz","37.6222293","127.0396511"
"355","성균관대도봉선수촌 인근","중랑천 길.kmz","37.6779485","127.0511428"
"356","일신강변아파트 인근","중랑천 길.kmz","37.5863823","127.0733499"
"357","동국대사대부속중학교 인근","중랑천 길.kmz","37.5781128","127.0783835"
"358","현대홈타운아파트 인근","중랑천 길.kmz","37.5684162","127.0774924"
"359","동부간선도로 인근","중랑천 길.kmz","37.605037","127.0730172"
"360","중랑역 지하철 경의선","중랑천 길.kmz","37.5946851","127.075856"
"361","군자역 지하철 5 7호선","중랑천 길.kmz","37.5571732","127.0794698"
"362","청계광장 인근","청계천 길.kmz","37.5691463","126.9779427"
"363","종각역 지하철 1호선","청계천 길.kmz","37.5698296","126.9839195"
"364","청계3가 인근","청계천 길.kmz","37.5682802","126.9923228"
"365","방산종합상가 인근","청계천 길.kmz","37.5693062","127.0004857"
"366","청평화시장 인근","청계천 길.kmz","37.5697405","127.0149708"
"367","롯데캐슬베네치아아파트 인근","청계천 길.kmz","37.5718462","127.0216519"
"369","용답역 지하철 2호선","청계천 길.kmz","37.5619061","127.0506938"
"370","마장역 지하철 5호선","청계천 길.kmz","37.5659975","127.0431495"
"371","잠실종합운동장 인근","탄천 길.kmz","37.5128673","127.0674564"
"372","강남주민편의시설 인근","탄천 길.kmz","37.4959645","127.0932279"
"373","서울메트로수서차량사업소 인근","탄천 길.kmz","37.4917179","127.1063467"
"374","가든파이브 인근","탄천 길.kmz","37.4796414","127.1161064"
"368","을지로입구역 지하철 2호선","청계천 길.kmz","37.5655943","126.9826928"
"375","수서역 지하철 분당선 3호선","탄천 길.kmz","37.4872709","127.1013933"
"376","롯데월드","탄천 길.kmz","37.5109173","127.0978237"
"377","삼성어린이박물관","탄천 길.kmz","37.5508662","127.0775069"
"378","잠실종합운동장","탄천 길.kmz","37.5128293","127.0721956"
"379","망원유수지체육공원 인근","홍제천길.kmz","37.5606485","126.8965223"
"380","마포구청 인근","홍제천길.kmz","37.5629599","126.9031056"
"169","강남세곡LH푸르지오","세곡천.kmz","37.4648536","127.0939007"
"170","헌인릉 인근","세곡천.kmz","37.4640968","127.0837208"
"171","세곡동사거리 버스정류장","세곡천.kmz","37.464399","127.1083706"
"172","헌인마을 버스정류장","세곡천.kmz","37.4618516","127.0900585"
"173","종합운동장역 지하철 2호선","송파강동 한강길.kmz","37.5111381","127.0734109"
"174","잠실나루역 지하철 2호선","송파강동 한강길.kmz","37.5206377","127.1038717"
"175","잠실대교 인근","송파강동 한강길.kmz","37.5211547","127.0965582"
"176","한강공원광나루지구 인근","송파강동 한강길.kmz","37.5283499","127.1070841"
"177","광나루자전거공원 인근","송파강동 한강길.kmz","37.5448452","127.1194414"
"178","암사동선사주거지 인근","송파강동 한강길.kmz","37.5628048","127.1295354"
"179","춘천고속도로 인근","송파강동 한강길.kmz","37.5817685","127.1906124"
"180","몽촌토성","송파강동 한강길.kmz","37.5229775","127.1187701"
"181","일자산 해맞이 공원","송파강동 한강길.kmz","37.5300572","127.1511502"
"182","한국 오카리나 박물관","송파강동 한강길.kmz","37.5219049","127.1237029"
"183","암사역 지하철 8호선","송파강동 한강길.kmz","37.5500841","127.1274522"
"184","버스정류장(미사리 차고지)","송파강동 한강길.kmz","37.5756454","127.2037849"
"185","상일동역 지하철 5호선","송파강동 한강길.kmz","37.5568556","127.1680326"
"186","백골부대전적비","안양천길.kmz","37.5485335","126.8822893"
"187","목마공원 인근","안양천길.kmz","37.5388958","126.8866047"
"188","목동종합운동장 인근","안양천길.kmz","37.5313336","126.8872968"
"189","목동종합운동장","안양천길.kmz","37.5313398","126.8820628"
"190","오목교 인근","안양천길.kmz","37.525304","126.878498"
"191","오금사거리 인근","안양천길.kmz","37.514926","126.8782123"
"192","어린이 교통 공원","안양천길.kmz","37.5093787","126.8700152"
"193","백골부대전적비 인근","안양천길.kmz","37.5481068","126.8794783"
"194","어린이교통공원 인근","안양천길.kmz","37.5080369","126.8727865"
"195","도림천역 지하철 2호선","안양천길.kmz","37.514527","126.8824629"
"196","광명시청 인근","안양천길.kmz","37.4845816","126.8717598"
"197","가산디지털단지 인근","안양천길.kmz","37.4746921","126.8765267"
"198","궁동공원","홍제천길.kmz","37.5697383","126.918583"
"199","홍연2교 인근","홍제천길.kmz","37.5778882","126.9308058"
"200","석촌호수","탄천 길.kmz","37.5093303","127.1020375"
"201","서울중동초등학교 인근","홍제천길.kmz","37.5655531","126.9118439"
